Sample,Facies
0,0
4,0
8,0
12,0
16,10
20,10
24,10
28,10
32,10
36,10
40,10
44,10
48,10
52,10
56,10
60,10
64,10
68,10
72,10
76,10
80,10
84,10
88,10
92,10
96,10
100,10
104,10
108,10
112,10
116,10
120,10
124,10
128,10
132,10
136,10
140,10
144,10
148,10
152,10
156,10
160,10
164,10
168,10
172,10
176,10
180,10
184,10
188,10
192,10
196,10
200,10
204,10
208,10
212,10
216,10
220,10
224,10
228,10
232,10
236,10
240,10
244,10
248,10
252,10
256,10
260,10
264,10
268,10
272,10
276,10
280,10
284,10
288,10
292,10
296,10
300,10
304,10
308,10
312,10
316,10
320,10
324,10
328,10
332,10
336,10
340,10
344,10
348,10
352,10
356,10
360,10
364,10
368,10
372,10
376,10
380,10
384,10
388,10
392,15
396,15
400,15
404,10
408,10
412,10
416,10
420,10
424,10
428,10
432,10
436,10
440,10
444,10
448,10
452,10
456,10
460,10
464,10
468,15
472,20
476,20
480,20
484,20
488,20
492,20
496,20
500,20
504,20
508,20
512,20
516,20
520,20
524,20
528,20
532,30
536,30
540,20
544,20
548,30
552,20
556,20
560,20
564,20
568,20
572,10
576,10
580,10
584,15
588,15
592,15
596,15
600,15
604,15
608,20
612,20
616,20
620,20
624,20
628,15
632,15
636,15
640,15
644,15
648,15
652,15
656,15
660,15
664,20
668,20
672,20
676,20
680,20
684,20
688,20
692,20
696,20
700,30
704,20
708,30
712,30
716,20
720,20
724,30
728,20
732,30
736,30
740,30
744,30
748,30
752,30
756,20
760,20
764,30
768,20
772,20
776,20
780,20
784,20
788,20
792,20
796,20
800,20
804,20
808,20
812,20
816,20
820,20
824,20
828,20
832,20
836,20
840,20
844,20
848,20
852,20
856,20
860,20
864,20
868,20
872,20
876,20
880,15
884,20
888,20
892,20
896,20
900,20
904,20
908,20
912,20
916,20
920,20
924,20
928,20
932,20
936,20
940,15
944,15
948,15
952,20
956,20
960,20
964,20
968,15
972,15
976,15
980,15
984,15
988,15
992,15
996,15
1000,15
1004,15
1008,20
1012,20
1016,20
1020,20
1024,20
1028,20
1032,20
1036,20
1040,15
1044,20
1048,20
1052,15
1056,15
1060,20
1064,20
1068,20
1072,15
1076,15
1080,15
1084,20
1088,20
1092,20
1096,20
1100,30
1104,30
1108,30
1112,30
1116,20
1120,30
1124,30
1128,30
1132,20
1136,20
1140,20
1144,20
1148,20
1152,20
1156,20
1160,20
1164,20
1168,20
1172,20
1176,20
1180,20
1184,20
1188,30
1192,20
1196,20
1200,20
1204,20
1208,20
1212,20
1216,20
1220,30
1224,30
1228,30
1232,30
1236,20
1240,20
1244,20
1248,20
1252,20
1256,20
1260,20
1264,20
1268,20
1272,15
1276,15
1280,20
1284,20
1288,20
1292,20
1296,20
1300,20
1304,20
1308,20
1312,20
1316,30
1320,30
1324,30
1328,20
1332,20
1336,20
1340,20
1344,20
1348,20
1352,20
1356,20
1360,20
1364,15
1368,15
1372,15
1376,10
1380,10
1384,10
1388,15
1392,15
1396,15
1400,15
1404,15
1408,15
1412,15
1416,15
1420,15
1424,15
1428,15
1432,15
1436,15
1440,15
1444,15
1448,15
1452,15
1456,15
1460,15
1464,15
1468,20
1472,20
1476,20
1480,15
1484,15
1488,15
1492,15
1496,15
1500,15
1504,15
1508,15
1512,15
1516,15
1520,15
1524,15
1528,10
1532,15
1536,15
1540,15
1544,15
1548,15
1552,15
1556,10
1560,10
1564,10
1568,10
1572,15
1576,10
1580,10
1584,10
1588,10
1592,10
1596,15
1600,15
1604,15
1608,10
1612,10
1616,10
1620,15
1624,15
1628,10
1632,10
1636,10
1640,10
1644,10
1648,10
1652,15
1656,15
1660,15
1664,10
1668,10
1672,10
1676,10
1680,10
1684,10
1688,10
1692,10
1696,15
1700,15
1704,15
1708,15
1712,15
1716,15
1720,15
1724,15
1728,15
1732,15
1736,15
1740,15
1744,15
1748,15
1752,15
1756,15
1760,15
1764,15
1768,10
1772,10
1776,10
1780,10
1784,10
1788,15
1792,15
1796,15
1800,20
1804,20
1808,20
1812,20
1816,15
1820,15
1824,15
1828,15
1832,20
1836,10
1840,15
1844,15
1848,0
